,Rank,Points,Player_1_Name,Player_2_Name,Player_3_Name,Player_4_Name,Player_5_Name,Player_6_Name,Player_7_Name,Player_8_Name,Player_9_Name,Player_10_Name,Player_1_Position_Rostered,Player_2_Position_Rostered,Player_3_Position_Rostered,Player_4_Position_Rostered,Player_5_Position_Rostered,Player_6_Position_Rostered,Player_7_Position_Rostered,Player_8_Position_Rostered,Player_9_Position_Rostered,Player_10_Position_Rostered,Player_1_Salary,Player_2_Salary,Player_3_Salary,Player_4_Salary,Player_5_Salary,Player_6_Salary,Player_7_Salary,Player_8_Salary,Player_9_Salary,Player_10_Salary,Player_1_Team,Player_2_Team,Player_3_Team,Player_4_Team,Player_5_Team,Player_6_Team,Player_7_Team,Player_8_Team,Player_9_Team,Player_10_Team,Main_Stack,Secondary_Stack,Tertiary_Stack,Main_Stack_Length,Secondary_Stack_Length,Tertiary_Stack_Length
westy1322,64,97.1,Nick Martinez,Dylan Bundy,Bryce Harper,Vladimir Guerrero Jr.,Byron Buxton,Kyle Schwarber,Carlos Correa,Alec Bohm,Luis Arraez,Joey Bart,P,P,OF,1B,OF,OF,SS,3B,2B,C,5900,5600,6200,6100,5900,5300,5100,3700,3600,2500,SD,MIN,PHI,TOR,MIN,PHI,MIN,PHI,MIN,SF,MIN,PHI,,3,3,
bignumber55,65,96.85,Alek Manoah,Huascar Ynoa,Shohei Ohtani,Ozzie Albies,Jared Walsh,Marcell Ozuna,Luis Arraez,Brandon Marsh,Manny Pina,Orlando Arcia,P,P,OF,2B,1B,OF,3B,OF,C,SS,10200,8600,6000,4800,4700,3800,3600,3100,2600,2500,TOR,ATL,LAA,ATL,LAA,ATL,MIN,LAA,ATL,ATL,ATL,LAA,,4,3,
wakeywakey,66,96.8,Alek Manoah,Michael Lorenzen,Wander Franco,Jesse Winker,Mitch Haniger,Eugenio Suarez,Adam Frazier,Ji-Man Choi,Francisco Mejia,Julio Rodriguez,P,P,SS,OF,OF,3B,2B,1B,C,OF,10200,6700,5300,5000,4600,4200,4000,4000,3200,2000,TOR,LAA,TB,SEA,SEA,SEA,SEA,TB,TB,SEA,SEA,TB,,5,3,
I_Slewfoot_U,67,96.55,Alek Manoah,Nick Martinez,Manny Machado,Starling Marte,Pete Alonso,Mark Canha,Jake Cronenworth,Brandon Nimmo,Austin Nola,Luis Guillorme,P,P,3B,OF,1B,OF,2B,OF,C,SS,10200,5900,4900,4900,4800,4200,4200,4000,2900,2500,TOR,SD,SD,NYM,NYM,NYM,SD,NYM,SD,NYM,NYM,SD,,5,3,
cobby9,68,95.9,Ranger Suarez,Taijuan Walker,Wander Franco,George Springer,Teoscar Hernandez,Mark Canha,Ji-Man Choi,Matt Chapman,Alejandro Kirk,Santiago Espinal,P,P,SS,OF,OF,OF,1B,3B,C,2B,8900,8300,5300,5100,4700,4200,4000,4000,3100,2400,PHI,NYM,TB,TOR,TOR,NYM,TB,TOR,TOR,TOR,TOR,TB,,5,2,
kholtonkjd,69,95.65,Huascar Ynoa,Michael Lorenzen,Shohei Ohtani,Byron Buxton,Ozzie Albies,Austin Riley,Adam Duvall,Marcell Ozuna,Austin Nola,Tyler Wade,P,P,1B,OF,2B,3B,OF,OF,C,SS,8600,6700,6000,5900,4800,4800,4100,3800,2900,2300,ATL,LAA,LAA,MIN,ATL,ATL,ATL,ATL,SD,LAA,ATL,LAA,,4,2,
jrock328,70,95.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Kyle Schwarber,Ozzie Albies,J.T. Realmuto,Yandy Diaz,Ji-Man Choi,Didi Gregorius,Julio Rodriguez,P,P,OF,OF,2B,C,3B,1B,SS,OF,9200,5600,6000,5300,4800,4600,4500,4000,3700,2000,SF,MIN,LAA,PHI,ATL,PHI,TB,TB,PHI,SEA,PHI,TB,,3,2,
jlampert22,70,95.6,Alex Wood,Dylan Bundy,Vladimir Guerrero Jr.,Shohei Ohtani,Bo Bichette,Kyle Schwarber,Max Stassi,Gio Urshela,Brandon Marsh,Tyler Wade,P,P,1B,OF,SS,OF,C,3B,OF,2B,9200,5600,6100,6000,5400,5300,3700,3200,3100,2300,SF,MIN,TOR,LAA,TOR,PHI,LAA,MIN,LAA,LAA,LAA,TOR,,4,2,
LTDOG24,72,95.55,Alek Manoah,Nick Martinez,Bryce Harper,Brandon Lowe,Kyle Schwarber,J.T. Realmuto,Didi Gregorius,Alec Bohm,Brett Phillips,Billy McKinney,P,P,OF,2B,OF,C,SS,3B,OF,1B,10200,5900,6200,5400,5300,4600,3700,3700,2600,2400,TOR,SD,PHI,TB,PHI,PHI,PHI,PHI,TB,OAK,PHI,TB,,5,2,
jetsfan8183,72,95.55,Alek Manoah,Nick Martinez,Wander Franco,Starling Marte,Pete Alonso,Ozzie Albies,Mark Canha,Marcell Ozuna,J.D. Davis,Gary Sanchez,P,P,SS,OF,1B,2B,OF,OF,3B,C,10200,5900,5300,4900,4800,4800,4200,3800,3000,2800,TOR,SD,TB,NYM,NYM,ATL,NYM,ATL,NYM,MIN,NYM,ATL,,4,2,
beeman1031,74,95.35,Michael Lorenzen,Dylan Bundy,Bryce Harper,Shohei Ohtani,Kyle Schwarber,Ozzie Albies,Austin Riley,J.T. Realmuto,Didi Gregorius,Matt Vierling,P,P,OF,1B,OF,2B,3B,C,SS,OF,6700,5600,6200,6000,5300,4800,4800,4600,3700,2300,LAA,MIN,PHI,LAA,PHI,ATL,ATL,PHI,PHI,PHI,PHI,ATL,,5,2,
BrettNolfo,75,95.2,Luis Patino,Michael Lorenzen,Byron Buxton,Carlos Correa,Jorge Polanco,Jared Walsh,Adam Duvall,Marcell Ozuna,Luis Arraez,Gary Sanchez,P,P,OF,SS,2B,1B,OF,OF,3B,C,7800,6700,5900,5100,4900,4700,4100,3800,3600,2800,TB,LAA,MIN,MIN,MIN,LAA,ATL,ATL,MIN,MIN,MIN,ATL,,5,2,
Epignosis,76,95.1,Nick Martinez,Dylan Bundy,Vladimir Guerrero Jr.,Bo Bichette,George Springer,Ozzie Albies,Austin Riley,Teoscar Hernandez,Max Stassi,Lourdes Gurriel Jr.,P,P,1B,SS,OF,2B,3B,OF,C,OF,5900,5600,6100,5400,5100,4800,4800,4700,3700,3600,SD,MIN,TOR,TOR,TOR,ATL,ATL,TOR,LAA,TOR,TOR,ATL,,5,2,
astwg3,77,94.55,Alek Manoah,Nick Martinez,Vladimir Guerrero Jr.,Bo Bichette,George Springer,Mitch Haniger,Matt Chapman,Luis Arraez,Gary Sanchez,Julio Rodriguez,P,P,1B,SS,OF,OF,3B,2B,C,OF,10200,5900,6100,5400,5100,4600,4000,3600,2800,2000,TOR,SD,TOR,TOR,TOR,SEA,TOR,MIN,MIN,SEA,TOR,MIN,SEA,4,2,2
11frantzs,78,94.35,Michael Lorenzen,Dylan Bundy,Byron Buxton,Matt Olson,Kyle Schwarber,Carlos Correa,Ozzie Albies,Austin Riley,Marcell Ozuna,Manny Pina,P,P,OF,1B,OF,SS,2B,3B,OF,C,6700,5600,5900,5400,5300,5100,4800,4800,3800,2600,LAA,MIN,MIN,ATL,PHI,MIN,ATL,ATL,ATL,ATL,ATL,MIN,,5,2,
Petec0525,79,93.85,Alex Wood,Michael Lorenzen,Shohei Ohtani,Byron Buxton,Kyle Schwarber,Ozzie Albies,Austin Riley,Gary Sanchez,Orlando Arcia,Julio Rodriguez,P,P,1B,OF,OF,2B,3B,C,SS,OF,9200,6700,6000,5900,5300,4800,4800,2800,2500,2000,SF,LAA,LAA,MIN,PHI,ATL,ATL,MIN,ATL,SEA,ATL,MIN,,3,2,
bifff716,80,93.8,Alek Manoah,Michael Lorenzen,Brandon Lowe,Wander Franco,Jesse Winker,Mitch Haniger,Yandy Diaz,Ji-Man Choi,Cal Raleigh,Julio Rodriguez,P,P,2B,SS,OF,OF,3B,1B,C,OF,10200,6700,5400,5300,5000,4600,4500,4000,2100,2000,TOR,LAA,TB,TB,SEA,SEA,TB,TB,SEA,SEA,TB,SEA,,4,4,
werewolvesoflondon,80,93.8,Alek Manoah,Michael Lorenzen,Brandon Belt,Kyle Schwarber,Brandon Crawford,Austin Riley,Mike Yastrzemski,Darin Ruf,Gary Sanchez,Thairo Estrada,P,P,1B,OF,SS,3B,OF,OF,C,2B,10200,6700,5500,5300,5200,4800,3800,2900,2800,2600,TOR,LAA,SF,PHI,SF,ATL,SF,SF,MIN,SF,SF,,,5,,
structo,82,93.7,Ranger Suarez,Michael Lorenzen,Matt Olson,Wander Franco,Jesse Winker,Ozzie Albies,Austin Riley,Marcell Ozuna,Brandon Marsh,Cal Raleigh,P,P,1B,SS,OF,2B,3B,OF,OF,C,8900,6700,5400,5300,5000,4800,4800,3800,3100,2100,PHI,LAA,ATL,TB,SEA,ATL,ATL,ATL,LAA,SEA,ATL,SEA,,4,2,
jjttn723,83,93.65,Huascar Ynoa,Michael Lorenzen,Wander Franco,George Springer,Jesse Winker,Pete Alonso,Mark Canha,Abraham Toro,Luis Arraez,Gary Sanchez,P,P,SS,OF,OF,1B,OF,3B,2B,C,8600,6700,5300,5100,5000,4800,4200,3900,3600,2800,ATL,LAA,TB,TOR,SEA,NYM,NYM,SEA,MIN,MIN,SEA,NYM,MIN,2,2,2
ianj300,84,93.6,Alex Wood,Dylan Bundy,Matt Olson,Ozzie Albies,Austin Riley,Jesus Sanchez,Dansby Swanson,Jorge Soler,Marcell Ozuna,Max Stassi,P,P,1B,2B,3B,OF,SS,OF,OF,C,9200,5600,5400,4800,4800,4200,4200,4100,3800,3700,SF,MIN,ATL,ATL,ATL,MIA,ATL,MIA,ATL,LAA,ATL,MIA,,5,2,
Bearsfan17,85,93.2,Luis Patino,Michael Lorenzen,Shohei Ohtani,Byron Buxton,Kyle Schwarber,Jared Walsh,J.P. Crawford,Max Stassi,Luis Arraez,Orlando Arcia,P,P,OF,OF,OF,1B,SS,C,3B,2B,7800,6700,6000,5900,5300,4700,3800,3700,3600,2500,TB,LAA,LAA,MIN,PHI,LAA,SEA,LAA,MIN,ATL,LAA,MIN,,3,2,
majonesogtomat,86,93.1,Nick Martinez,Dylan Bundy,Shohei Ohtani,Byron Buxton,Giancarlo Stanton,Carlos Correa,Jorge Polanco,Austin Riley,Marcell Ozuna,Gary Sanchez,P,P,1B,OF,OF,SS,2B,3B,OF,C,5900,5600,6000,5900,5200,5100,4900,4800,3800,2800,SD,MIN,LAA,MIN,NYY,MIN,MIN,ATL,ATL,MIN,MIN,ATL,,4,2,
TJones4582,87,93.05,Alek Manoah,Alex Wood,Brandon Lowe,Wander Franco,Yandy Diaz,Adam Duvall,Ji-Man Choi,Josh Lowe,Joey Bart,Julio Rodriguez,P,P,2B,SS,3B,OF,1B,OF,C,OF,10200,9200,5400,5300,4500,4100,4000,2800,2500,2000,TOR,SF,TB,TB,TB,ATL,TB,TB,SF,SEA,TB,,,5,,
murphyry,88,92.85,Alex Wood,Michael Lorenzen,Shohei Ohtani,Byron Buxton,Matt Olson,Ozzie Albies,Austin Riley,Manny Pina,Orlando Arcia,Julio Rodriguez,P,P,OF,OF,1B,2B,3B,C,SS,OF,9200,6700,6000,5900,5400,4800,4800,2600,2500,2000,SF,LAA,LAA,MIN,ATL,ATL,ATL,ATL,ATL,SEA,ATL,,,5,,
jarjets89,89,92.75,Alek Manoah,Jameson Taillon,Jazz Chisholm Jr.,Jesus Aguilar,Jesus Sanchez,Jorge Soler,Abraham Toro,Max Stassi,Brian Anderson,Joc Pederson,P,P,SS,1B,OF,OF,2B,C,3B,OF,10200,8000,5000,4200,4200,4100,3900,3700,3300,3200,TOR,NYY,MIA,MIA,MIA,MIA,SEA,LAA,MIA,SF,MIA,,,5,,
upsdale,90,92.6,Alex Wood,Nick Martinez,Wander Franco,Kyle Schwarber,Giancarlo Stanton,Jean Segura,Anthony Rendon,Ji-Man Choi,Francisco Mejia,Brandon Marsh,P,P,SS,OF,OF,2B,3B,1B,C,OF,9200,5900,5300,5300,5200,4400,4300,4000,3200,3100,SF,SD,TB,PHI,NYY,PHI,LAA,TB,TB,LAA,TB,LAA,PHI,3,2,2
bradton2345,91,92.55,Alek Manoah,Nick Martinez,Shohei Ohtani,Brandon Lowe,Austin Riley,J.T. Realmuto,Adam Duvall,Marcell Ozuna,Josh Lowe,Taylor Walls,P,P,1B,2B,3B,C,OF,OF,OF,SS,10200,5900,6000,5400,4800,4600,4100,3800,2800,2400,TOR,SD,LAA,TB,ATL,PHI,ATL,ATL,TB,TB,TB,ATL,,3,3,
rodchatman,92,92.35,Michael Lorenzen,Nick Martinez,Byron Buxton,Carlos Correa,Jesse Winker,Jorge Polanco,Mitch Haniger,Ty France,Eugenio Suarez,Gary Sanchez,P,P,OF,SS,OF,2B,OF,1B,3B,C,6700,5900,5900,5100,5000,4900,4600,4500,4200,2800,LAA,SD,MIN,MIN,SEA,MIN,SEA,SEA,SEA,MIN,MIN,SEA,,4,4,
IceHoya,93,91.9,Alex Wood,Huascar Ynoa,Bo Bichette,George Springer,Jesus Aguilar,Jesus Sanchez,Jorge Soler,Joey Wendle,Jacob Stallings,Santiago Espinal,P,P,SS,OF,1B,OF,OF,3B,C,2B,9200,8600,5400,5100,4200,4200,4100,3800,3000,2400,SF,ATL,TOR,TOR,MIA,MIA,MIA,MIA,MIA,TOR,MIA,TOR,,5,3,
BNair724,94,91.85,Alex Wood,Michael Lorenzen,Byron Buxton,Matt Olson,Ozzie Albies,Austin Riley,Adam Duvall,Marcell Ozuna,Gary Sanchez,Luis Guillorme,P,P,OF,1B,2B,3B,OF,OF,C,SS,9200,6700,5900,5400,4800,4800,4100,3800,2800,2500,SF,LAA,MIN,ATL,ATL,ATL,ATL,ATL,MIN,NYM,ATL,MIN,,5,2,
theswartz88,95,91.6,Alex Wood,Dylan Bundy,Byron Buxton,Brandon Lowe,Wander Franco,Austin Riley,Ji-Man Choi,Marcell Ozuna,Francisco Mejia,Josh Lowe,P,P,OF,2B,SS,3B,1B,OF,C,OF,9200,5600,5900,5400,5300,4800,4000,3800,3200,2800,SF,MIN,MIN,TB,TB,ATL,TB,ATL,TB,TB,TB,ATL,,5,2,
bellefan08,95,91.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Wander Franco,Teoscar Hernandez,Mitch Haniger,Ji-Man Choi,Matt Chapman,Luis Arraez,Gary Sanchez,P,P,OF,SS,OF,OF,1B,3B,2B,C,9200,5600,6000,5300,4700,4600,4000,4000,3600,2800,SF,MIN,LAA,TB,TOR,SEA,TB,TOR,MIN,MIN,TB,MIN,TOR,2,2,2
radthad,97,91.55,Alek Manoah,Dylan Bundy,Brandon Belt,Bo Bichette,Manny Machado,Jake Cronenworth,Jorge Soler,Marcell Ozuna,Joc Pederson,Alejandro Kirk,P,P,1B,SS,3B,2B,OF,OF,OF,C,10200,5600,5500,5400,4900,4200,4100,3800,3200,3100,TOR,MIN,SF,TOR,SD,SD,MIA,ATL,SF,TOR,SD,SF,TOR,2,2,2
szeis03,98,91.45,Ranger Suarez,Dylan Bundy,Bryce Harper,Byron Buxton,Brandon Lowe,Wander Franco,Ji-Man Choi,Seth Brown,Gary Sanchez,Taylor Walls,P,P,OF,OF,2B,SS,1B,OF,C,3B,8900,5600,6200,5900,5400,5300,4000,3500,2800,2400,PHI,MIN,PHI,MIN,TB,TB,TB,OAK,MIN,TB,TB,MIN,,4,2,
broncofisch,99,91.4,Alek Manoah,Luis Patino,Vladimir Guerrero Jr.,Bo Bichette,George Springer,Ozzie Albies,Gio Urshela,Austin Nola,Jurickson Profar,Julio Rodriguez,P,P,1B,SS,OF,2B,3B,C,OF,OF,10200,7800,6100,5400,5100,4800,3200,2900,2400,2000,TOR,TB,TOR,TOR,TOR,ATL,MIN,SD,SD,SEA,TOR,SD,,3,2,
hack7,100,91.2,Luis Patino,Michael Lorenzen,Byron Buxton,Matt Olson,Carlos Correa,Jorge Polanco,Adam Duvall,Marcell Ozuna,Gio Urshela,Gary Sanchez,P,P,OF,1B,SS,2B,OF,OF,3B,C,7800,6700,5900,5400,5100,4900,4100,3800,3200,2800,TB,LAA,MIN,ATL,MIN,MIN,ATL,ATL,MIN,MIN,MIN,ATL,,5,3,
Firedog50,101,91.15,Michael Lorenzen,Paul Blackburn,Bryce Harper,Shohei Ohtani,Matt Olson,Ozzie Albies,Austin Riley,Dansby Swanson,Marcell Ozuna,Gary Sanchez,P,P,OF,OF,1B,2B,3B,SS,OF,C,6700,5200,6200,6000,5400,4800,4800,4200,3800,2800,LAA,OAK,PHI,LAA,ATL,ATL,ATL,ATL,ATL,MIN,ATL,,,5,,
whodeywinning,102,91.1,Nick Martinez,Dylan Bundy,Vladimir Guerrero Jr.,Shohei Ohtani,Byron Buxton,Brandon Lowe,Wander Franco,Kyle Schwarber,Taylor Walls,Cal Raleigh,P,P,1B,OF,OF,2B,SS,OF,3B,C,5900,5600,6100,6000,5900,5400,5300,5300,2400,2100,SD,MIN,TOR,LAA,MIN,TB,TB,PHI,TB,SEA,TB,,,3,,
jackson_0824,103,90.85,Alex Wood,Michael Lorenzen,Bryce Harper,Kyle Schwarber,Jorge Polanco,Max Kepler,Didi Gregorius,Luis Arraez,Alex Kirilloff,Francisco Mejia,P,P,OF,OF,2B,OF,SS,3B,1B,C,9200,6700,6200,5300,4900,3700,3700,3600,3400,3200,SF,LAA,PHI,PHI,MIN,MIN,PHI,MIN,MIN,TB,MIN,PHI,,4,3,
spamamoto,104,90.65,Huascar Ynoa,Michael Lorenzen,Byron Buxton,Matt Olson,Ozzie Albies,Dansby Swanson,Adam Duvall,Marcell Ozuna,Luis Arraez,Gary Sanchez,P,P,OF,1B,2B,SS,OF,OF,3B,C,8600,6700,5900,5400,4800,4200,4100,3800,3600,2800,ATL,LAA,MIN,ATL,ATL,ATL,ATL,ATL,MIN,MIN,ATL,MIN,,5,3,
Chavalue3,105,90.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Byron Buxton,Ozzie Albies,Austin Riley,Adam Duvall,Marcell Ozuna,Gary Sanchez,Thairo Estrada,P,P,1B,OF,2B,3B,OF,OF,C,SS,9200,5600,6000,5900,4800,4800,4100,3800,2800,2600,SF,MIN,LAA,MIN,ATL,ATL,ATL,ATL,MIN,SF,ATL,MIN,,4,2,
96mnc,106,90.55,Alek Manoah,Nick Martinez,Byron Buxton,Carlos Correa,Ozzie Albies,Austin Riley,Miguel Sano,Marcell Ozuna,Gary Sanchez,Josh Lowe,P,P,OF,SS,2B,3B,1B,OF,C,OF,10200,5900,5900,5100,4800,4800,3900,3800,2800,2800,TOR,SD,MIN,MIN,ATL,ATL,MIN,ATL,MIN,TB,MIN,ATL,,4,3,
JSB11970,106,90.55,Alek Manoah,Nick Martinez,Shohei Ohtani,Brandon Lowe,Wander Franco,Austin Riley,Adam Duvall,Francisco Mejia,Josh Lowe,Julio Rodriguez,P,P,1B,2B,SS,3B,OF,C,OF,OF,10200,5900,6000,5400,5300,4800,4100,3200,2800,2000,TOR,SD,LAA,TB,TB,ATL,ATL,TB,TB,SEA,TB,ATL,,4,2,
htrader,106,90.55,Alek Manoah,Nick Martinez,Shohei Ohtani,Brandon Lowe,Wander Franco,Austin Riley,Adam Duvall,Francisco Mejia,Josh Lowe,Julio Rodriguez,P,P,1B,2B,SS,3B,OF,C,OF,OF,10200,5900,6000,5400,5300,4800,4100,3200,2800,2000,TOR,SD,LAA,TB,TB,ATL,ATL,TB,TB,SEA,TB,ATL,,4,2,
Nik3144,109,90.4,Huascar Ynoa,Nick Martinez,Brandon Lowe,Matt Olson,Wander Franco,George Springer,Austin Riley,Marcell Ozuna,Austin Nola,Josh Lowe,P,P,2B,1B,SS,OF,3B,OF,C,OF,8600,5900,5400,5400,5300,5100,4800,3800,2900,2800,ATL,SD,TB,ATL,TB,TOR,ATL,ATL,SD,TB,ATL,TB,,3,3,
Jkourp,110,90.1,Nick Martinez,Dylan Bundy,Bryce Harper,Nick Castellanos,Brandon Lowe,Wander Franco,J.T. Realmuto,Yandy Diaz,Ji-Man Choi,Josh Lowe,P,P,OF,OF,2B,SS,C,3B,1B,OF,5900,5600,6200,5600,5400,5300,4600,4500,4000,2800,SD,MIN,PHI,PHI,TB,TB,PHI,TB,TB,TB,TB,PHI,,5,3,
uhhuhbro,111,89.85,Alex Wood,Michael Lorenzen,Kyle Schwarber,Rhys Hoskins,J.T. Realmuto,Joey Gallo,Dansby Swanson,Abraham Toro,Alec Bohm,Matt Vierling,P,P,OF,1B,C,OF,SS,2B,3B,OF,9200,6700,5300,5200,4600,4500,4200,3900,3700,2300,SF,LAA,PHI,PHI,PHI,NYY,ATL,SEA,PHI,PHI,PHI,,,5,,
dpeezy82,112,89.6,Alex Wood,Nick Martinez,Shohei Ohtani,Juan Soto,Brandon Lowe,Wander Franco,Matt Chapman,Josh Bell,Billy McKinney,Zack Collins,P,P,OF,OF,2B,SS,3B,1B,OF,C,9200,5900,6000,5700,5400,5300,4000,3800,2400,2300,SF,SD,LAA,WAS,TB,TB,TOR,WAS,OAK,TOR,TB,TOR,WAS,2,2,2
bkreider,113,89.55,Alek Manoah,Dylan Bundy,Shohei Ohtani,Juan Soto,Ozzie Albies,Austin Riley,Nelson Cruz,Marcell Ozuna,Manny Pina,Orlando Arcia,P,P,1B,OF,2B,3B,OF,OF,C,SS,10200,5600,6000,5700,4800,4800,4000,3800,2600,2500,TOR,MIN,LAA,WAS,ATL,ATL,WAS,ATL,ATL,ATL,ATL,WAS,,5,2,
Ballerkb24,114,89.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Giancarlo Stanton,Jared Walsh,Jean Segura,Anthony Rendon,Adam Duvall,Max Stassi,Didi Gregorius,P,P,OF,OF,1B,2B,3B,OF,C,SS,6700,5600,6000,5200,4700,4400,4300,4100,3700,3700,LAA,MIN,LAA,NYY,LAA,PHI,LAA,ATL,LAA,PHI,LAA,PHI,,4,2,
strikelightning83,115,89.2,Alek Manoah,Elieser Hernandez,Brandon Belt,Brandon Crawford,Jorge Polanco,Mike Yastrzemski,Max Kepler,Joc Pederson,Gio Urshela,Gary Sanchez,P,P,1B,SS,2B,OF,OF,OF,3B,C,10200,7500,5500,5200,4900,3800,3700,3200,3200,2800,TOR,MIA,SF,SF,MIN,SF,MIN,SF,MIN,MIN,MIN,SF,,4,4,
youdacao,116,89.1,Nick Martinez,Dylan Bundy,Shohei Ohtani,Byron Buxton,Matt Olson,Carlos Correa,Ozzie Albies,Austin Riley,Marcell Ozuna,Manny Pina,P,P,OF,OF,1B,SS,2B,3B,OF,C,5900,5600,6000,5900,5400,5100,4800,4800,3800,2600,SD,MIN,LAA,MIN,ATL,MIN,ATL,ATL,ATL,ATL,ATL,MIN,,5,2,
ShaidyAdvice,117,89.05,Alek Manoah,Alex Wood,Byron Buxton,Carlos Correa,Jorge Polanco,Jorge Soler,Gio Urshela,Darin Ruf,Mauricio Dubon,Cal Raleigh,P,P,OF,SS,2B,OF,3B,1B,OF,C,10200,9200,5900,5100,4900,4100,3200,2900,2200,2100,TOR,SF,MIN,MIN,MIN,MIA,MIN,SF,SF,SEA,MIN,SF,,4,2,
Franks816,117,89.05,Alek Manoah,Alex Wood,Brandon Lowe,Wander Franco,Mitch Haniger,Josh Bell,Marcell Ozuna,Manny Pina,Brett Phillips,Taylor Walls,P,P,2B,SS,OF,1B,OF,C,OF,3B,10200,9200,5400,5300,4600,3800,3800,2600,2600,2400,TOR,SF,TB,TB,SEA,WAS,ATL,ATL,TB,TB,TB,ATL,,4,2,
Wizeguy1015,119,88.85,Alex Wood,Michael Lorenzen,Shohei Ohtani,Byron Buxton,Ozzie Albies,Austin Riley,Jared Walsh,Manny Pina,Orlando Arcia,Julio Rodriguez,P,P,OF,OF,2B,3B,1B,C,SS,OF,9200,6700,6000,5900,4800,4800,4700,2600,2500,2000,SF,LAA,LAA,MIN,ATL,ATL,LAA,ATL,ATL,SEA,ATL,LAA,,4,2,
DS-Fan,120,88.6,Alex Wood,Dylan Bundy,Byron Buxton,Brandon Lowe,Wander Franco,Austin Riley,Adam Duvall,Ji-Man Choi,Gary Sanchez,Josh Lowe,P,P,OF,2B,SS,3B,OF,1B,C,OF,9200,5600,5900,5400,5300,4800,4100,4000,2800,2800,SF,MIN,MIN,TB,TB,ATL,ATL,TB,MIN,TB,TB,MIN,ATL,4,2,2
jballen10,121,88.1,Nick Martinez,Dylan Bundy,Shohei Ohtani,Juan Soto,Brandon Lowe,Wander Franco,Austin Riley,Adam Duvall,Marcell Ozuna,Gary Sanchez,P,P,1B,OF,2B,SS,3B,OF,OF,C,5900,5600,6000,5700,5400,5300,4800,4100,3800,2800,SD,MIN,LAA,WAS,TB,TB,ATL,ATL,ATL,MIN,ATL,TB,,3,2,
Tokyobill,122,87.6,Alex Wood,Dylan Bundy,Brandon Belt,Ozzie Albies,Austin Riley,J.T. Realmuto,Dansby Swanson,Adam Duvall,Marcell Ozuna,Joc Pederson,P,P,1B,2B,3B,C,SS,OF,OF,OF,9200,5600,5500,4800,4800,4600,4200,4100,3800,3200,SF,MIN,SF,ATL,ATL,PHI,ATL,ATL,ATL,SF,ATL,SF,,5,2,
bocul14,123,87.55,Alek Manoah,Dylan Bundy,Bryce Harper,Wander Franco,Kyle Schwarber,Yandy Diaz,Ji-Man Choi,Francisco Mejia,Josh Lowe,Thairo Estrada,P,P,OF,SS,OF,3B,1B,C,OF,2B,10200,5600,6200,5300,5300,4500,4000,3200,2800,2600,TOR,MIN,PHI,TB,PHI,TB,TB,TB,TB,SF,TB,PHI,,5,2,
rydagreat,124,87.35,Michael Lorenzen,Dylan Bundy,Bryce Harper,Wander Franco,Kyle Schwarber,Ozzie Albies,Austin Riley,Jared Walsh,Marcell Ozuna,Gary Sanchez,P,P,OF,SS,OF,2B,3B,1B,OF,C,6700,5600,6200,5300,5300,4800,4800,4700,3800,2800,LAA,MIN,PHI,TB,PHI,ATL,ATL,LAA,ATL,MIN,ATL,PHI,,3,2,
blackstack524,124,87.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Juan Soto,Ozzie Albies,Austin Riley,Jared Walsh,Dansby Swanson,Marcell Ozuna,Keibert Ruiz,P,P,OF,OF,2B,3B,1B,SS,OF,C,6700,5600,6000,5700,4800,4800,4700,4200,3800,3200,LAA,MIN,LAA,WAS,ATL,ATL,LAA,ATL,ATL,WAS,ATL,LAA,WAS,4,2,2
getloose,126,87.1,Nick Martinez,Dylan Bundy,Bryce Harper,Brandon Lowe,Wander Franco,Kyle Schwarber,J.T. Realmuto,Yandy Diaz,Ji-Man Choi,Josh Lowe,P,P,OF,2B,SS,OF,C,3B,1B,OF,5900,5600,6200,5400,5300,5300,4600,4500,4000,2800,SD,MIN,PHI,TB,TB,PHI,PHI,TB,TB,TB,TB,PHI,,5,3,
thay3r,126,87.1,Nick Martinez,Dylan Bundy,Bryce Harper,Brandon Lowe,Wander Franco,Kyle Schwarber,J.T. Realmuto,Yandy Diaz,Ji-Man Choi,Josh Lowe,P,P,OF,2B,SS,OF,C,3B,1B,OF,5900,5600,6200,5400,5300,5300,4600,4500,4000,2800,SD,MIN,PHI,TB,TB,PHI,PHI,TB,TB,TB,TB,PHI,,5,3,
peratan,126,87.1,Nick Martinez,Dylan Bundy,Bryce Harper,Shohei Ohtani,Matt Olson,Ozzie Albies,Austin Riley,Francisco Lindor,Marcell Ozuna,Austin Nola,P,P,OF,OF,1B,2B,3B,SS,OF,C,5900,5600,6200,6000,5400,4800,4800,4600,3800,2900,SD,MIN,PHI,LAA,ATL,ATL,ATL,NYM,ATL,SD,ATL,,,4,,
